(30.00000, -3.00000, 0.00000), (30.24041, -2.78045, 10.72486)
(29.00000, -4.00000, 0.00000), (29.50035, -3.54413, 10.52219)
(28.00000, -5.00000, 0.00000), (28.71355, -4.24867, 10.09751)
(27.00000, -6.00000, 0.00000), (27.90246, -4.95294, 9.47091)
(26.00000, -5.00000, 0.00000), (26.72404, -4.35460, 10.11445)
(25.00000, -4.00000, 0.00000), (25.57569, -3.67840, 10.54695)
(24.00000, -3.00000, 0.00000), (24.48475, -2.87152, 10.74917)
(23.00000, -2.00000, 0.00000), (23.45377, -1.96373, 10.75307)
(22.00000, -1.00000, 0.00000), (22.46774, -0.99650, 10.59910)
(21.00000, 0.00000, 0.00000), (21.51298, 0.00000, 10.31895)
(27.00000, 7.00000, 0.00000), (28.08769, 5.60175, 8.73285)
(28.00000, 6.00000, 0.00000), (28.89696, 4.91385, 9.37370)
(26.00000, 6.00000, 0.00000), (26.90800, 5.03442, 9.40452)
(29.00000, 5.00000, 0.00000), (29.67845, 4.24834, 9.83489)
(25.00000, 5.00000, 0.00000), (25.74795, 4.43045, 9.91076)
(30.00000, 4.00000, 0.00000), (30.41272, 3.55235, 10.11292)
(24.00000, 4.00000, 0.00000), (24.62654, 3.71712, 10.23453)
(31.00000, 3.00000, 0.00000), (31.08565, 2.78544, 10.19051)
(23.00000, 3.00000, 0.00000), (23.55700, 2.88422, 10.37619)
(32.00000, 2.00000, 0.00000), (31.72211, 1.93225, 10.05818)
(22.00000, 2.00000, 0.00000), (22.53002, 1.96794, 10.37012)
(33.00000, 1.00000, 0.00000), (32.36047, 0.99279, 9.69306)
(21.00000, 1.00000, 0.00000), (21.53341, 0.99688, 10.24271)
(34.00000, 0.00000, 0.00000), (33.01491, 0.00000, 9.07895)
(33.00000, -1.00000, 0.00000), (32.36047, -0.99279, 9.69306)
(32.00000, -2.00000, 0.00000), (31.72211, -1.93225, 10.05818)
(31.00000, -3.00000, 0.00000), (31.08565, -2.78544, 10.19051)
(30.00000, -4.00000, 0.00000), (30.41272, -3.55235, 10.11292)
(29.00000, -5.00000, 0.00000), (29.67845, -4.24834, 9.83489)
(28.00000, -6.00000, 0.00000), (28.89696, -4.91385, 9.37370)
(27.00000, -7.00000, 0.00000), (28.08769, -5.60175, 8.73285)
(26.00000, -6.00000, 0.00000), (26.90800, -5.03442, 9.40452)
(25.00000, -5.00000, 0.00000), (25.74795, -4.43045, 9.91076)
(24.00000, -4.00000, 0.00000), (24.62654, -3.71712, 10.23453)
(23.00000, -3.00000, 0.00000), (23.55700, -2.88422, 10.37619)
(22.00000, -2.00000, 0.00000), (22.53002, -1.96794, 10.37012)
(21.00000, -1.00000, 0.00000), (21.53341, -0.99688, 10.24271)
(20.00000, 0.00000, 0.00000), (20.55754, 0.00000, 10.02376)
(27.00000, 8.00000, 0.00000), (28.27133, 6.24549, 7.98996)
(28.00000, 7.00000, 0.00000), (29.08191, 5.56054, 8.63371)
(26.00000, 7.00000, 0.00000), (27.09341, 5.68960, 8.67216)
(29.00000, 6.00000, 0.00000), (29.86165, 4.91276, 9.11034)
(25.00000, 6.00000, 0.00000), (25.92996, 5.12919, 9.21891)
(30.00000, 5.00000, 0.00000), (30.59274, 4.26033, 9.43001)
(24.00000, 5.00000, 0.00000), (24.79072, 4.49575, 9.62891)
(31.00000, 4.00000, 0.00000), (31.26412, 3.56375, 9.58852)
(23.00000, 4.00000, 0.00000), (23.68999, 3.74511, 9.88510)
(32.00000, 3.00000, 0.00000), (31.87345, 2.79439, 9.57465)
(22.00000, 3.00000, 0.00000), (22.62795, 2.89427, 10.00636)
(33.00000, 2.00000, 0.00000), (32.45484, 1.93705, 9.37768)
(21.00000, 2.00000, 0.00000), (21.59230, 1.97060, 10.02272)
(34.00000, 1.00000, 0.00000), (33.05138, 0.99339, 8.97012)
(20.00000, 1.00000, 0.00000), (20.57754, 0.99699, 9.94891)
(35.00000, 0.00000, 0.00000), (33.69007, 0.00000, 8.34128)
(34.00000, -1.00000, 0.00000), (33.05138, -0.99339, 8.97012)
(33.00000, -2.00000, 0.00000), (32.45484, -1.93705, 9.37768)
(32.00000, -3.00000, 0.00000), (31.87345, -2.79439, 9.57465)
(31.00000, -4.00000, 0.00000), (31.26412, -3.56375, 9.58852)
(30.00000, -5.00000, 0.00000), (30.59274, -4.26033, 9.43001)
(29.00000, -6.00000, 0.00000), (29.86165, -4.91276, 9.11034)
(28.00000, -7.00000, 0.00000), (29.08191, -5.56054, 8.63371)
(27.00000, -8.00000, 0.00000), (28.27133, -6.24549, 7.98996)
(26.00000, -7.00000, 0.00000), (27.09341, -5.68960, 8.67216)
(25.00000, -6.00000, 0.00000), (25.92996, -5.12919, 9.21891)
(24.00000, -5.00000, 0.00000), (24.79072, -4.49575, 9.62891)
(23.00000, -4.00000, 0.00000), (23.68999, -3.74511, 9.88510)
(22.00000, -3.00000, 0.00000), (22.62795, -2.89427, 10.00636)
(21.00000, -2.00000, 0.00000), (21.59230, -1.97060, 10.02272)
(20.00000, -1.00000, 0.00000), (20.57754, -0.99699, 9.94891)
(19.00000, 0.00000, 0.00000), (19.58138, 0.00000, 9.80673)
