(27.00000, 0.00000, 0.00000), (27.64141, 0.00000, 12.38280)
(27.50001, 0.00000, 0.00000), (28.13988, 0.00000, 12.34360)
(27.00000, -0.50000, 0.00000), (27.64096, -0.49945, 12.35930)
(26.50001, 0.00000, 0.00000), (27.14177, 0.00000, 12.36402)
(27.00000, 0.50000, 0.00000), (27.64096, 0.49945, 12.35930)
(28.00000, 0.00000, 0.00000), (28.63089, 0.00000, 12.24924)
(27.50000, -0.50000, 0.00000), (28.13936, -0.49941, 12.31933)
(27.50000, 0.50000, 0.00000), (28.13936, 0.49941, 12.31933)
(27.00000, -1.00000, 0.00000), (27.63956, -0.99435, 12.28808)
(26.50001, -0.50000, 0.00000), (27.14132, -0.49945, 12.34055)
(26.00000, 0.00000, 0.00000), (26.64659, 0.00000, 12.29475)
(26.50001, 0.50000, 0.00000), (27.14132, 0.49945, 12.34055)
(27.00000, 1.00000, 0.00000), (27.63956, 0.99435, 12.28808)
(28.50001, 0.00000, 0.00000), (29.11001, 0.00000, 12.10623)
(28.00000, -0.50000, 0.00000), (28.63015, -0.49935, 12.22378)
(28.00000, 0.50000, 0.00000), (28.63015, 0.49935, 12.22378)
(27.50000, -1.00000, 0.00000), (28.13780, -0.99402, 12.24615)
(27.50000, 1.00000, 0.00000), (28.13780, 0.99402, 12.24615)
(27.00000, -1.50000, 0.00000), (27.63702, -1.47951, 12.16721)
(26.50001, -1.00000, 0.00000), (27.13989, -0.99440, 12.26969)
(26.00000, -0.50000, 0.00000), (26.64622, -0.49942, 12.27069)
(25.50000, 0.00000, 0.00000), (26.15889, 0.00000, 12.18453)
(26.00000, 0.50000, 0.00000), (26.64622, 0.49942, 12.27069)
(26.49999, 1.00000, 0.00000), (27.13989, 0.99440, 12.26969)
(27.00000, 1.50000, 0.00000), (27.63702, 1.47951, 12.16721)
(29.00000, 0.00000, 0.00000), (29.57427, 0.00000, 11.92060)
(28.50000, -0.50000, 0.00000), (29.10886, -0.49928, 12.07944)
(28.50000, 0.50000, 0.00000), (29.10886, 0.49928, 12.07944)
(28.00000, -1.00000, 0.00000), (28.62804, -0.99355, 12.14787)
(28.00000, 1.00000, 0.00000), (28.62804, 0.99355, 12.14787)
(27.50000, -1.50000, 0.00000), (28.13504, -1.47856, 12.12280)
(27.50000, 1.50000, 0.00000), (28.13504, 1.47856, 12.12280)
(27.00000, -2.00000, 0.00000), (27.63306, -1.94850, 11.99390)
(26.50001, -1.50000, 0.00000), (27.13732, -1.47984, 12.14993)
(26.00000, -1.00000, 0.00000), (26.64495, -0.99422, 12.19878)
(25.50000, -0.50000, 0.00000), (26.15872, -0.49938, 12.15958)
(25.00000, 0.00000, 0.00000), (25.67956, 0.00000, 12.04225)
(25.50000, 0.50000, 0.00000), (26.15872, 0.49938, 12.15958)
(26.00000, 1.00000, 0.00000), (26.64495, 0.99422, 12.19878)
(26.50000, 1.50000, 0.00000), (27.13732, 1.47984, 12.14993)
(27.00000, 2.00000, 0.00000), (27.63306, 1.94850, 11.99390)
(29.49999, 0.00000, 0.00000), (30.02170, 0.00000, 11.69744)
(29.00000, -0.50000, 0.00000), (29.57263, -0.49921, 11.89257)
(29.00000, 0.50000, 0.00000), (29.57263, 0.49921, 11.89257)
(28.50001, -1.00000, 0.00000), (29.10588, -0.99302, 12.00065)
(28.50001, 1.00000, 0.00000), (29.10588, 0.99302, 12.00065)
(28.00000, -1.50000, 0.00000), (28.62471, -1.47735, 12.02168)
(28.00000, 1.50000, 0.00000), (28.62471, 1.47735, 12.02168)
(27.49999, -2.00000, 0.00000), (28.13089, -1.94679, 11.94747)
(27.49999, 2.00000, 0.00000), (28.13089, 1.94679, 11.94747)
(27.00000, -2.49999, 0.00000), (27.62734, -2.39413, 11.76724)
(26.50001, -2.00000, 0.00000), (27.13329, -1.94954, 11.97856)
(26.00000, -1.50000, 0.00000), (26.64243, -1.47956, 12.07862)
(25.50000, -1.00000, 0.00000), (26.15785, -0.99392, 12.08592)
(25.00000, -0.50000, 0.00000), (25.67967, -0.49933, 12.01637)
(24.50001, 0.00000, 0.00000), (25.20812, 0.00000, 11.87570)
(25.00000, 0.50000, 0.00000), (25.67967, 0.49933, 12.01637)
(25.50000, 1.00000, 0.00000), (26.15785, 0.99392, 12.08592)
(26.00000, 1.50000, 0.00000), (26.64243, 1.47956, 12.07862)
(26.49999, 2.00000, 0.00000), (27.13329, 1.94954, 11.97856)
(27.00000, 2.49999, 0.00000), (27.62734, 2.39413, 11.76724)
(30.00000, 0.00000, 0.00000), (30.45086, 0.00000, 11.44087)
(29.50000, -0.50000, 0.00000), (30.01961, -0.49916, 11.66850)
(29.50000, 0.50000, 0.00000), (30.01961, 0.49916, 11.66850)
(29.00000, -1.00000, 0.00000), (29.56863, -0.99255, 11.81130)
(29.00000, 1.00000, 0.00000), (29.56863, 0.99255, 11.81130)
(28.50001, -1.50000, 0.00000), (29.10174, -1.47614, 11.87186)
(28.50001, 1.50000, 0.00000), (29.10174, 1.47614, 11.87186)
(28.00000, -2.00000, 0.00000), (28.62027, -1.94507, 11.84497)
(28.00000, 2.00000, 0.00000), (28.62027, 1.94507, 11.84497)
(27.50001, -2.49999, 0.00000), (28.12513, -2.39215, 11.72025)
(27.50001, 2.49999, 0.00000), (28.12513, 2.39215, 11.72025)
(27.00000, -3.00000, 0.00000), (27.61996, -2.81422, 11.49618)
(26.50001, -2.50000, 0.00000), (27.12752, -2.39642, 11.75437)
(26.00000, -2.00000, 0.00000), (26.63823, -1.94971, 11.90850)
(25.50000, -1.50000, 0.00000), (26.15561, -1.47897, 11.96459)
(25.00000, -1.00000, 0.00000), (25.67935, -0.99360, 11.94088)
