(0.02127, 0.00000, 0.00000)
(0.04435, -0.50000, 0.00000)
(0.04435, 0.50000, 0.00000)
(0.11209, -1.00000, 0.00000)
(0.11208, 1.00000, 0.00000)
(0.22244, -1.50000, 0.00000)
(0.22244, 1.50000, 0.00000)
(0.37433, -2.00000, 0.00000)
(0.37433, 2.00000, 0.00000)
(0.50000, -2.32624, 0.00000)
(0.50000, -2.00000, 0.00000)
(0.50000, -1.50000, 0.00000)
(0.50000, -1.00000, 0.00000)
(0.50000, -0.50000, 0.00000)
(0.50000, 0.00000, 0.00000)
(0.49999, 1.00000, 0.00000)
(0.50000, 0.50000, 0.00000)
(0.50000, 1.50000, 0.00000)
(0.50000, 2.00000, 0.00000)
(0.50000, 2.32624, 0.00000)
(0.56779, -2.50000, 0.00000)
(0.56779, 2.49999, 0.00000)
(0.80446, -3.00000, 0.00000)
(0.80446, 3.00000, 0.00000)
(1.00000, -3.34937, 0.00000)
(1.00000, -3.00000, 0.00000)
(1.00000, -2.50000, 0.00000)
(1.00000, -2.00000, 0.00000)
(1.00000, -1.50000, 0.00000)
(1.00000, -1.00000, 0.00000)
(1.00000, -0.50000, 0.00000)
(1.00000, 0.00000, 0.00000)
(1.00000, 0.50000, 0.00000)
(1.00000, 1.00000, 0.00000)
(1.00000, 1.50000, 0.00000)
(1.00000, 2.00000, 0.00000)
(1.00000, 2.49999, 0.00000)
(1.00000, 3.00000, 0.00000)
(1.00000, 3.34938, 0.00000)
(1.08580, -3.50001, 0.00000)
(1.08580, 3.50000, 0.00000)
(1.41230, -4.00000, 0.00000)
(1.41230, 4.00000, 0.00000)
(1.50000, -4.12060, 0.00000)
(1.50000, -4.00000, 0.00000)
(1.50000, -3.50001, 0.00000)
(1.50000, -3.00000, 0.00000)
(1.50000, -2.50000, 0.00000)
(1.50000, -2.00000, 0.00000)
(1.50000, -1.50000, 0.00000)
(1.50000, -1.00000, 0.00000)
(1.50000, -0.50000, 0.00000)
(1.50000, 0.00000, 0.00000)
(1.50000, 0.50000, 0.00000)
(1.50000, 1.00000, 0.00000)
(1.50000, 1.50000, 0.00000)
(1.50000, 2.00000, 0.00000)
(1.50000, 2.49999, 0.00000)
(1.50000, 3.00000, 0.00000)
(1.50000, 3.50000, 0.00000)
(1.50000, 4.00000, 0.00000)
(1.50000, 4.12060, 0.00000)
(1.78183, -4.50000, 0.00000)
(1.78183, 4.50000, 0.00000)
(2.00000, -4.77379, 0.00000)
(2.00000, -4.50000, 0.00000)
(2.00000, -4.00000, 0.00000)
(2.00000, -3.50000, 0.00000)
(2.00000, -3.00000, 0.00000)
(2.00000, -2.50000, 0.00000)
(2.00000, -2.00000, 0.00000)
(2.00000, -1.50000, 0.00000)
(2.00000, -1.00000, 0.00000)
(2.00000, -0.50000, 0.00000)
(2.00000, 0.00000, 0.00000)
(2.00000, 0.50000, 0.00000)
(2.00000, 1.00000, 0.00000)
(2.00000, 1.50000, 0.00000)
(2.00000, 2.00000, 0.00000)
(2.00000, 2.49999, 0.00000)
(2.00000, 3.00000, 0.00000)
(2.00000, 3.50000, 0.00000)
(2.00000, 4.00000, 0.00000)
(2.00000, 4.50000, 0.00000)
(2.00000, 4.77379, 0.00000)
(2.18469, -5.00000, 0.00000)
(2.18469, 5.00000, 0.00000)
(2.50000, -5.37159, 0.00000)
(2.50000, -5.00000, 0.00000)
